solution_leaf,count,percentage,category,domain
change_of_primary_reagent,688,6.0,Reagents_Catalysts,Chemical_Conditions
entirely_new_route_or_step_replacement,639,5.6,Route_Design,Strategy_and_Optimization
temperature_setpoint_or_temperature_ramp_optimization,625,5.4,Stoichiometry_Kinetics,Chemical_Conditions
solvent_change_for_solubility,601,5.2,Solvent_Phase,Chemical_Conditions
change_of_addition_order_or_feed_profile,533,4.6,Stoichiometry_Kinetics,Chemical_Conditions
change_of_catalyst_or_ligand_identity,490,4.3,Reagents_Catalysts,Chemical_Conditions
change_of_base,448,3.9,Acid_Base_pH,Chemical_Conditions
optimization_of_reagent_stoichiometry,405,3.5,Stoichiometry_Kinetics,Chemical_Conditions
change_of_additive,390,3.4,Additives,Chemical_Conditions
batch_to_flow_or_flow_process_implementation,381,3.3,Flow_and_Solids,Process_Engineering
improved_impurity_purge_or_byproduct_control,367,3.2,Extraction_and_Workup,Workup_and_Purification
step_reordering_or_telescope_strategy,316,2.8,Route_Design,Strategy_and_Optimization
custom_or_novel_reactor_design,315,2.7,Reactor_and_Hardware,Process_Engineering
crystallization_solvent_or_antisolvent_optimization,312,2.7,Crystallization,Workup_and_Purification
solvent_change_for_safety_or_green_chemistry,262,2.3,Solvent_Phase,Chemical_Conditions
drying_or_isolation_process_optimization,260,2.3,Extraction_and_Workup,Workup_and_Purification
solvent_change_for_reactivity,237,2.1,Solvent_Phase,Chemical_Conditions
clogging_or_fouling_mitigation,233,2.0,Flow_and_Solids,Process_Engineering
optimization_of_catalyst_loading,205,1.8,Reagents_Catalysts,Chemical_Conditions
improved_mixing_or_impeller_design,197,1.7,Reactor_and_Hardware,Process_Engineering
change_of_oxidant_or_oxidation_protocol,194,1.7,Reagents_Catalysts,Chemical_Conditions
change_of_acid,193,1.7,Acid_Base_pH,Chemical_Conditions
protecting_group_change_or_removal,182,1.6,ProtectingGroups_Substrate,Chemical_Conditions
hold_time_or_residence_time_optimization,179,1.6,Stoichiometry_Kinetics,Chemical_Conditions
biocatalytic_or_enzymatic_route_change_or_optimization,178,1.6,Biocatalysis,Specialized_Chemistries
improved_quench_or_neutralization,163,1.4,Extraction_and_Workup,Workup_and_Purification
condition_change_to_reduce_or_remove_process_hazard,160,1.4,Atmosphere_and_Safety,Process_Engineering
improved_in_process_control_or_analytical_method,160,1.4,Impurity_and_QC,Workup_and_Purification
replacement_of_costly_or_low_purity_reagent,153,1.3,Reagents_Catalysts,Chemical_Conditions
change_of_reductant_or_reduction_protocol,150,1.3,Reagents_Catalysts,Chemical_Conditions
phase_behavior_or_biphasic_system_optimization,150,1.3,Solvent_Phase,Chemical_Conditions
optimization_of_acid_or_base_stoichiometry,146,1.3,Acid_Base_pH,Chemical_Conditions
solvent_change_to_reduce_side_products,146,1.3,Solvent_Phase,Chemical_Conditions
replacement_of_unstable_or_impure_reagent,125,1.1,Reagents_Catalysts,Chemical_Conditions
gas_evolution_or_mass_transfer_management,117,1.0,Flow_and_Solids,Process_Engineering
solvent_system_optimization_or_cosolvent_addition,113,1.0,Solvent_Phase,Chemical_Conditions
polymorph_or_solid_form_management,109,1.0,Crystallization,Workup_and_Purification
insufficient_information_to_classify,94,0.8,Fallback,Strategy_and_Optimization
pressure_or_gas_headspace_optimization,92,0.8,Stoichiometry_Kinetics,Chemical_Conditions
slurry_handling_or_particle_size_optimization,87,0.8,Flow_and_Solids,Process_Engineering
process_modeling_or_digital_twin_guided_change,84,0.7,Screening_Modeling,Strategy_and_Optimization
improved_heat_transfer_or_temperature_control_hardware,79,0.7,Reactor_and_Hardware,Process_Engineering
other,77,0.7,Fallback,Strategy_and_Optimization
crystallization_nucleation_or_seed_control,77,0.7,Crystallization,Workup_and_Purification
reagent_change_to_reduce_waste_or_increase_green_score,70,0.6,Reagents_Catalysts,Chemical_Conditions
improved_photochemical_reactor_or_light_delivery,61,0.5,Reactor_and_Hardware,Process_Engineering
optimization_of_inert_atmosphere_or_deoxygenation,54,0.5,Atmosphere_and_Safety,Process_Engineering
packed_bed_or_fixed_bed_optimization,43,0.4,Flow_and_Solids,Process_Engineering
improved_electrochemical_reactor_or_electrode_system,42,0.4,Reactor_and_Hardware,Process_Engineering
thermal_runaway_mitigation_or_quench_safety_modification,41,0.4,Atmosphere_and_Safety,Process_Engineering
feedstock_or_supplier_variability_management,20,0.2,Impurity_and_QC,Workup_and_Purification
continuous_process_intensification,13,0.1,Flow_and_Solids,Process_Engineering
optimization_of_oxygen_or_gas_enriched_environment,6,0.1,Atmosphere_and_Safety,Process_Engineering
tolerance_of_reagent_or_feed_impurities,5,0.0,Impurity_and_QC,Workup_and_Purification
optimization_of_halogenation_protocol,1,0.0,Halogenation,Specialized_Chemistries
